"servicioId","analisisId","soaControlId","controlCodigo","riesgoCodigo","puntaje","prioridad","estado","senales","decisiones","versionMotor"
"902001","30012","30076","A.8.24","R-ORG01-M2","25","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902002","30013","30100","A.5.15","R-ORG02-A2","60","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902002","30014","30101","A.5.16","R-ORG02-A3","67","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|HALLAZGO_ABIERTO|EVIDENCIA_RECHAZADA|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902002","30015","30102","A.5.17","R-ORG02-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902002","30016","30103","A.5.18","R-ORG02-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902002","30017","30104","A.5.19","R-ORG02-M3","27","MEDIA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902002","30018","30109","A.5.23","R-ORG02-B2","13","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE|RELEVANCIA_CONTEXTUAL","MONITOREAR","RPM-DETERMINISTA-1.0"
"902002","30019","30110","A.5.24","R-ORG02-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902002","30020","30133","A.6.3","R-ORG02-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902002","30021","30157","A.8.13","R-ORG02-B3","14","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902002","30022","30158","A.8.14","R-ORG02-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902002","30023","30160","A.8.16","R-ORG02-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902002","30024","30169","A.8.24","R-ORG02-M2","28","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902003","30025","30193","A.5.15","R-ORG03-A2","60","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902003","30026","30194","A.5.16","R-ORG03-A3","70","ALTA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_ALTO|HALLAZGO_ABIERTO|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902003","30027","30195","A.5.17","R-ORG03-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902003","30028","30196","A.5.18","R-ORG03-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902003","30029","30197","A.5.19","R-ORG03-M3","27","MEDIA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902003","30030","30202","A.5.23","R-ORG03-B2","13","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE|RELEVANCIA_CONTEXTUAL","MONITOREAR","RPM-DETERMINISTA-1.0"
"902003","30031","30203","A.5.24","R-ORG03-A1","69","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902003","30032","30226","A.6.3","R-ORG03-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902003","30033","30250","A.8.13","R-ORG03-B3","20","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|EVIDENCIA_PENDIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902003","30034","30251","A.8.14","R-ORG03-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902003","30035","30253","A.8.16","R-ORG03-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902003","30036","30262","A.8.24","R-ORG03-M2","25","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902004","60015","30286","A.5.15","R-ORG04-A2","55","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902004","30038","30287","A.5.16","R-ORG04-A3","67","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|HALLAZGO_ABIERTO|EVIDENCIA_RECHAZADA|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902004","60016","30288","A.5.17","R-ORG04-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902004","30040","30289","A.5.18","R-ORG04-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902004","60017","30290","A.5.19","R-ORG04-M3","22","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902004","60018","30295","A.5.23","R-ORG04-B2","8","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE","MONITOREAR","RPM-DETERMINISTA-1.0"
"902004","30043","30296","A.5.24","R-ORG04-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902004","60019","30319","A.6.3","R-ORG04-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902004","30045","30343","A.8.13","R-ORG04-B3","14","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902004","60020","30344","A.8.14","R-ORG04-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902004","30047","30346","A.8.16","R-ORG04-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902004","60021","30355","A.8.24","R-ORG04-M2","33","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902005","60022","30379","A.5.15","R-ORG05-A2","55","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902005","30050","30380","A.5.16","R-ORG05-A3","70","ALTA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_ALTO|HALLAZGO_ABIERTO|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902005","30051","30381","A.5.17","R-ORG05-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902005","30052","30382","A.5.18","R-ORG05-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902005","60023","30383","A.5.19","R-ORG05-M3","22","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902005","60024","30388","A.5.23","R-ORG05-B2","8","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE","MONITOREAR","RPM-DETERMINISTA-1.0"
"902005","60025","30389","A.5.24","R-ORG05-A1","69","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902005","60026","30412","A.6.3","R-ORG05-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902005","60027","30436","A.8.13","R-ORG05-B3","19","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902005","60028","30437","A.8.14","R-ORG05-M1","31","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902005","30059","30439","A.8.16","R-ORG05-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902005","60029","30448","A.8.24","R-ORG05-M2","30","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902006","60030","30472","A.5.15","R-ORG06-A2","55","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902006","30062","30473","A.5.16","R-ORG06-A3","67","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|HALLAZGO_ABIERTO|EVIDENCIA_RECHAZADA|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902006","30063","30474","A.5.17","R-ORG06-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION|RELEVANCIA_CONTEXTUAL","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902006","30064","30475","A.5.18","R-ORG06-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902006","60031","30476","A.5.19","R-ORG06-M3","22","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902006","60032","30481","A.5.23","R-ORG06-B2","8","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE","MONITOREAR","RPM-DETERMINISTA-1.0"
"902006","60033","30482","A.5.24","R-ORG06-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902006","60034","30505","A.6.3","R-ORG06-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902006","30069","30529","A.8.13","R-ORG06-B3","20","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|EVIDENCIA_PENDIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902006","30070","30530","A.8.14","R-ORG06-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902006","30071","30532","A.8.16","R-ORG06-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902006","60035","30541","A.8.24","R-ORG06-M2","33","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO|RELEVANCIA_CONTEXTUAL","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902007","60036","30565","A.5.15","R-ORG07-A2","55","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902007","30074","30566","A.5.16","R-ORG07-A3","70","ALTA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_ALTO|HALLAZGO_ABIERTO|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902007","60037","30567","A.5.17","R-ORG07-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902007","30076","30568","A.5.18","R-ORG07-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902007","60038","30569","A.5.19","R-ORG07-M3","22","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902007","60039","30574","A.5.23","R-ORG07-B2","8","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE","MONITOREAR","RPM-DETERMINISTA-1.0"
"902007","30079","30575","A.5.24","R-ORG07-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902007","60040","30598","A.6.3","R-ORG07-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902007","30081","30622","A.8.13","R-ORG07-B3","14","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902007","30082","30623","A.8.14","R-ORG07-M1","26","MEDIA","PENDIENTE_VALIDACION","CONTROL_PARCIAL|RIESGO_MEDIO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902007","30083","30625","A.8.16","R-ORG07-B1","0","BAJA","PENDIENTE_VALIDACION","","MONITOREAR","RPM-DETERMINISTA-1.0"
"902007","30084","30634","A.8.24","R-ORG07-M2","25","MEDIA","PENDIENTE_VALIDACION","EVIDENCIA_RECHAZADA|RIESGO_MEDIO","REVISAR_EVIDENCIA|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902008","60041","30658","A.5.15","R-ORG08-A2","55","ALTA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_NO_INICIADO","PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902008","30086","30659","A.5.16","R-ORG08-A3","67","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|HALLAZGO_ABIERTO|EVIDENCIA_RECHAZADA|BRECHA_FORMACION","REVISAR_EVIDENCIA|TRATAR_RIESGO|CAPACITACION","RPM-DETERMINISTA-1.0"
"902008","60042","30660","A.5.17","R-ORG08-C2","100","CRITICA","PENDIENTE_VALIDACION","CONTROL_NO_EFECTIVO|RIESGO_CRITICO|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|BRECHA_FORMACION","PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902008","30088","30661","A.5.18","R-ORG08-C3","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_ALTO|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|CONTROL_PLANIFICADO|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902008","60043","30662","A.5.19","R-ORG08-M3","22","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO|HALLAZGO_ABIERTO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
"902008","60044","30667","A.5.23","R-ORG08-B2","8","BAJA","PENDIENTE_VALIDACION","APLICABILIDAD_PENDIENTE","MONITOREAR","RPM-DETERMINISTA-1.0"
"902008","30091","30668","A.5.24","R-ORG08-A1","64","ALTA","PENDIENTE_VALIDACION","RIESGO_ALTO|CONTROL_PARCIAL|SIN_EVIDENCIA|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO","RPM-DETERMINISTA-1.0"
"902008","60045","30691","A.6.3","R-ORG08-C1","100","CRITICA","PENDIENTE_VALIDACION","RIESGO_CRITICO|CONTROL_PARCIAL|SIN_EVIDENCIA|HALLAZGO_ABIERTO|HALLAZGO_RECURRENTE|FECHA_VENCIDA|BRECHA_FORMACION|AVANCE_INSUFICIENTE","REVISAR_EVIDENCIA|PLAN_TRATAMIENTO|TRATAR_RIESGO|CAPACITACION|ESCALAR","RPM-DETERMINISTA-1.0"
"902008","30093","30715","A.8.13","R-ORG08-B3","14","BAJA","PENDIENTE_VALIDACION","CONTROL_PLANIFICADO","PLAN_TRATAMIENTO","RPM-DETERMINISTA-1.0"
