codigo|dominio|titulo|descripcion|pregunta|etiquetas
A.5.30|Organizacional|Preparación TIC para continuidad|asegurar recuperación y disponibilidad de tecnologías críticas|¿La organización ha definido, implementado, documentado y revisado medidas para asegurar recuperación y disponibilidad de tecnologías críticas?|continuidad,servicio_critico
A.5.31|Organizacional|Requisitos legales y contractuales|identificar y mantener obligaciones legales, regulatorias y contractuales|¿La organización ha definido, implementado, documentado y revisado medidas para identificar y mantener obligaciones legales, regulatorias y contractuales?|legal,privacidad
A.5.32|Organizacional|Derechos de propiedad intelectual|proteger software, contenidos, licencias y propiedad intelectual|¿La organización ha definido, implementado, documentado y revisado medidas para proteger software, contenidos, licencias y propiedad intelectual?|legal,propiedad_intelectual
A.5.33|Organizacional|Protección de registros|conservar registros íntegros, disponibles y protegidos durante su ciclo de vida|¿La organización ha definido, implementado, documentado y revisado medidas para conservar registros íntegros, disponibles y protegidos durante su ciclo de vida?|registros,legal
A.5.34|Organizacional|Privacidad y datos personales|cumplir requisitos de privacidad y protección de información personal|¿La organización ha definido, implementado, documentado y revisado medidas para cumplir requisitos de privacidad y protección de información personal?|privacidad,datos_sensibles,menores
A.5.35|Organizacional|Revisión independiente|evaluar de forma independiente el enfoque y la implementación de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para evaluar de forma independiente el enfoque y la implementación de seguridad?|auditoria,gobierno
A.5.36|Organizacional|Cumplimiento interno|verificar cumplimiento de políticas, reglas y estándares de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para verificar cumplimiento de políticas, reglas y estándares de seguridad?|auditoria,gobierno
A.5.37|Organizacional|Procedimientos operativos documentados|documentar procedimientos necesarios para operar de forma segura|¿La organización ha definido, implementado, documentado y revisado medidas para documentar procedimientos necesarios para operar de forma segura?|operacion,documentacion
A.6.1|Personas|Verificación de antecedentes|realizar verificaciones proporcionales antes y durante la vinculación|¿La organización ha definido, implementado, documentado y revisado medidas para realizar verificaciones proporcionales antes y durante la vinculación?|personas,acceso
A.6.2|Personas|Condiciones de vinculación|incluir responsabilidades de seguridad en términos laborales y contractuales|¿La organización ha definido, implementado, documentado y revisado medidas para incluir responsabilidades de seguridad en términos laborales y contractuales?|personas,legal
A.6.3|Personas|Concienciación y formación|formar periódicamente al personal según sus riesgos y responsabilidades|¿La organización ha definido, implementado, documentado y revisado medidas para formar periódicamente al personal según sus riesgos y responsabilidades?|personas,capacitacion
A.6.4|Personas|Proceso disciplinario|aplicar un proceso formal ante incumplimientos de seguridad|¿La organización ha definido, implementado, documentado y revisado medidas para aplicar un proceso formal ante incumplimientos de seguridad?|personas,gobierno
A.6.5|Personas|Responsabilidades tras cambios o retiro|mantener obligaciones y retirar accesos al cambiar o terminar una relación|¿La organización ha definido, implementado, documentado y revisado medidas para mantener obligaciones y retirar accesos al cambiar o terminar una relación?|personas,acceso
A.6.6|Personas|Acuerdos de confidencialidad|gestionar compromisos de confidencialidad aplicables|¿La organización ha definido, implementado, documentado y revisado medidas para gestionar compromisos de confidencialidad aplicables?|personas,privacidad,legal
A.6.7|Personas|Trabajo remoto seguro|proteger información, equipos y accesos usados fuera de las instalaciones|¿La organización ha definido, implementado, documentado y revisado medidas para proteger información, equipos y accesos usados fuera de las instalaciones?|trabajo_remoto,endpoint,nube
A.6.8|Personas|Reporte de eventos por el personal|facilitar el reporte oportuno de eventos y debilidades|¿La organización ha definido, implementado, documentado y revisado medidas para facilitar el reporte oportuno de eventos y debilidades?|personas,incidentes,capacitacion
A.7.1|Físico|Perímetros de seguridad física|delimitar y proteger áreas que contienen información o recursos críticos|¿La organización ha definido, implementado, documentado y revisado medidas para delimitar y proteger áreas que contienen información o recursos críticos?|fisico,infraestructura
A.7.2|Físico|Controles de entrada física|autorizar y registrar el acceso a instalaciones y áreas seguras|¿La organización ha definido, implementado, documentado y revisado medidas para autorizar y registrar el acceso a instalaciones y áreas seguras?|fisico,acceso
A.7.3|Físico|Protección de oficinas e instalaciones|diseñar y operar espacios físicos con medidas apropiadas|¿La organización ha definido, implementado, documentado y revisado medidas para diseñar y operar espacios físicos con medidas apropiadas?|fisico,infraestructura
A.7.4|Físico|Monitoreo de seguridad física|detectar y registrar accesos o actividades físicas no autorizadas|¿La organización ha definido, implementado, documentado y revisado medidas para detectar y registrar accesos o actividades físicas no autorizadas?|fisico,monitoreo
A.7.5|Físico|Protección frente a amenazas ambientales|reducir riesgos por incendios, inundaciones, fallas y otros eventos|¿La organización ha definido, implementado, documentado y revisado medidas para reducir riesgos por incendios, inundaciones, fallas y otros eventos?|fisico,continuidad
A.7.6|Físico|Trabajo en áreas seguras|establecer reglas para actividades dentro de zonas protegidas|¿La organización ha definido, implementado, documentado y revisado medidas para establecer reglas para actividades dentro de zonas protegidas?|fisico,personas
A.7.7|Físico|Escritorio y pantalla despejados|evitar exposición de información en puestos y pantallas sin supervisión|¿La organización ha definido, implementado, documentado y revisado medidas para evitar exposición de información en puestos y pantallas sin supervisión?|fisico,personas,privacidad
A.7.8|Físico|Ubicación y protección de equipos|instalar equipos para reducir daño, acceso indebido e interrupciones|¿La organización ha definido, implementado, documentado y revisado medidas para instalar equipos para reducir daño, acceso indebido e interrupciones?|fisico,endpoint
A.7.9|Físico|Activos fuera de instalaciones|proteger activos cuando salen de las sedes de la organización|¿La organización ha definido, implementado, documentado y revisado medidas para proteger activos cuando salen de las sedes de la organización?|fisico,trabajo_remoto,endpoint
A.7.10|Físico|Medios de almacenamiento|gestionar adquisición, transporte, uso y disposición segura de medios|¿La organización ha definido, implementado, documentado y revisado medidas para gestionar adquisición, transporte, uso y disposición segura de medios?|datos_sensibles,activos
A.7.11|Físico|Servicios de soporte|proteger energía, climatización y otros servicios de infraestructura|¿La organización ha definido, implementado, documentado y revisado medidas para proteger energía, climatización y otros servicios de infraestructura?|continuidad,infraestructura
A.7.12|Físico|Seguridad del cableado|proteger cableado de energía y comunicaciones contra daño o interceptación|¿La organización ha definido, implementado, documentado y revisado medidas para proteger cableado de energía y comunicaciones contra daño o interceptación?|fisico,redes
A.7.13|Físico|Mantenimiento de equipos|mantener equipos de forma autorizada, registrada y segura|¿La organización ha definido, implementado, documentado y revisado medidas para mantener equipos de forma autorizada, registrada y segura?|mantenimiento,endpoint,ot
A.7.14|Físico|Eliminación o reutilización segura|borrar información y retirar licencias antes de disponer o reutilizar equipos|¿La organización ha definido, implementado, documentado y revisado medidas para borrar información y retirar licencias antes de disponer o reutilizar equipos?|datos_sensibles,endpoint
A.8.1|Tecnológico|Dispositivos de usuario final|configurar y proteger equipos de escritorio, portátiles y móviles|¿La organización ha definido, implementado, documentado y revisado medidas para configurar y proteger equipos de escritorio, portátiles y móviles?|endpoint,configuracion
A.8.2|Tecnológico|Accesos privilegiados|restringir, supervisar y revisar privilegios administrativos|¿La organización ha definido, implementado, documentado y revisado medidas para restringir, supervisar y revisar privilegios administrativos?|acceso,identidad
A.8.3|Tecnológico|Restricción de acceso a información|limitar acceso a información y funciones de acuerdo con permisos|¿La organización ha definido, implementado, documentado y revisado medidas para limitar acceso a información y funciones de acuerdo con permisos?|acceso,datos_sensibles
A.8.4|Tecnológico|Acceso al código fuente|proteger repositorios, bibliotecas y herramientas de código|¿La organización ha definido, implementado, documentado y revisado medidas para proteger repositorios, bibliotecas y herramientas de código?|desarrollo,propiedad_intelectual
A.8.5|Tecnológico|Autenticación segura|usar mecanismos de autenticación proporcionales al riesgo|¿La organización ha definido, implementado, documentado y revisado medidas para usar mecanismos de autenticación proporcionales al riesgo?|identidad,acceso
A.8.6|Tecnológico|Gestión de capacidad|vigilar y ajustar recursos para mantener desempeño y disponibilidad|¿La organización ha definido, implementado, documentado y revisado medidas para vigilar y ajustar recursos para mantener desempeño y disponibilidad?|continuidad,monitoreo
A.8.7|Tecnológico|Protección contra software malicioso|prevenir, detectar y recuperar frente a malware|¿La organización ha definido, implementado, documentado y revisado medidas para prevenir, detectar y recuperar frente a malware?|malware,endpoint
A.8.8|Tecnológico|Gestión de vulnerabilidades técnicas|identificar, evaluar y tratar vulnerabilidades oportunamente|¿La organización ha definido, implementado, documentado y revisado medidas para identificar, evaluar y tratar vulnerabilidades oportunamente?|vulnerabilidades,parches
A.8.9|Tecnológico|Gestión de configuración|establecer líneas base y controlar configuraciones de hardware y software|¿La organización ha definido, implementado, documentado y revisado medidas para establecer líneas base y controlar configuraciones de hardware y software?|configuracion,nube,endpoint
A.8.10|Tecnológico|Eliminación de información|eliminar datos cuando ya no sean necesarios y exista autorización|¿La organización ha definido, implementado, documentado y revisado medidas para eliminar datos cuando ya no sean necesarios y exista autorización?|datos_sensibles,privacidad
A.8.11|Tecnológico|Enmascaramiento de datos|reducir exposición de información sensible mediante enmascaramiento|¿La organización ha definido, implementado, documentado y revisado medidas para reducir exposición de información sensible mediante enmascaramiento?|datos_sensibles,privacidad
A.8.12|Tecnológico|Prevención de fuga de datos|detectar y evitar divulgación o extracción no autorizada|¿La organización ha definido, implementado, documentado y revisado medidas para detectar y evitar divulgación o extracción no autorizada?|datos_sensibles,monitoreo
A.8.13|Tecnológico|Copias de seguridad|realizar respaldos y comprobar periódicamente su restauración|¿La organización ha definido, implementado, documentado y revisado medidas para realizar respaldos y comprobar periódicamente su restauración?|backup,continuidad
A.8.14|Tecnológico|Redundancia de procesamiento|disponer redundancia suficiente para requisitos de disponibilidad|¿La organización ha definido, implementado, documentado y revisado medidas para disponer redundancia suficiente para requisitos de disponibilidad?|continuidad,servicio_critico
A.8.15|Tecnológico|Registro de eventos|generar, proteger y revisar logs relevantes|¿La organización ha definido, implementado, documentado y revisado medidas para generar, proteger y revisar logs relevantes?|logs,monitoreo
A.8.16|Tecnológico|Monitoreo de actividades|observar redes, sistemas y aplicaciones para detectar comportamientos anómalos|¿La organización ha definido, implementado, documentado y revisado medidas para observar redes, sistemas y aplicaciones para detectar comportamientos anómalos?|monitoreo,incidentes
A.8.17|Tecnológico|Sincronización de relojes|sincronizar relojes para preservar trazabilidad temporal|¿La organización ha definido, implementado, documentado y revisado medidas para sincronizar relojes para preservar trazabilidad temporal?|logs,infraestructura
A.8.18|Tecnológico|Herramientas con privilegios especiales|controlar utilidades capaces de evadir controles del sistema|¿La organización ha definido, implementado, documentado y revisado medidas para controlar utilidades capaces de evadir controles del sistema?|acceso,configuracion
A.8.19|Tecnológico|Instalación de software|autorizar y controlar software instalado en sistemas operativos|¿La organización ha definido, implementado, documentado y revisado medidas para autorizar y controlar software instalado en sistemas operativos?|configuracion,endpoint
A.8.20|Tecnológico|Seguridad de redes|proteger redes, dispositivos y tráfico frente a accesos o alteraciones|¿La organización ha definido, implementado, documentado y revisado medidas para proteger redes, dispositivos y tráfico frente a accesos o alteraciones?|redes,infraestructura
A.8.21|Tecnológico|Seguridad de servicios de red|definir y supervisar requisitos de seguridad de servicios de red|¿La organización ha definido, implementado, documentado y revisado medidas para definir y supervisar requisitos de seguridad de servicios de red?|redes,proveedores
A.8.22|Tecnológico|Segmentación de redes|separar grupos, servicios y sistemas según riesgo|¿La organización ha definido, implementado, documentado y revisado medidas para separar grupos, servicios y sistemas según riesgo?|redes,ot,nube
A.8.23|Tecnológico|Filtrado web|reducir acceso a recursos web maliciosos o no autorizados|¿La organización ha definido, implementado, documentado y revisado medidas para reducir acceso a recursos web maliciosos o no autorizados?|endpoint,malware
A.8.24|Tecnológico|Uso de criptografía|gobernar cifrado, llaves y certificados según riesgo|¿La organización ha definido, implementado, documentado y revisado medidas para gobernar cifrado, llaves y certificados según riesgo?|criptografia,datos_sensibles
A.8.25|Tecnológico|Ciclo de desarrollo seguro|integrar seguridad en todas las etapas del desarrollo|¿La organización ha definido, implementado, documentado y revisado medidas para integrar seguridad en todas las etapas del desarrollo?|desarrollo,seguridad_aplicaciones
A.8.26|Tecnológico|Requisitos de seguridad de aplicaciones|definir y aprobar requisitos de seguridad antes de construir o adquirir aplicaciones|¿La organización ha definido, implementado, documentado y revisado medidas para definir y aprobar requisitos de seguridad antes de construir o adquirir aplicaciones?|desarrollo,seguridad_aplicaciones
A.8.27|Tecnológico|Arquitectura e ingeniería segura|aplicar principios de diseño y arquitectura segura|¿La organización ha definido, implementado, documentado y revisado medidas para aplicar principios de diseño y arquitectura segura?|desarrollo,seguridad_aplicaciones
A.8.28|Tecnológico|Codificación segura|aplicar reglas y revisiones para reducir defectos de seguridad en código|¿La organización ha definido, implementado, documentado y revisado medidas para aplicar reglas y revisiones para reducir defectos de seguridad en código?|desarrollo,seguridad_aplicaciones
A.8.29|Tecnológico|Pruebas de seguridad|realizar pruebas de seguridad durante desarrollo y aceptación|¿La organización ha definido, implementado, documentado y revisado medidas para realizar pruebas de seguridad durante desarrollo y aceptación?|desarrollo,vulnerabilidades
A.8.30|Tecnológico|Desarrollo subcontratado|gobernar y revisar seguridad en desarrollo realizado por terceros|¿La organización ha definido, implementado, documentado y revisado medidas para gobernar y revisar seguridad en desarrollo realizado por terceros?|desarrollo,proveedores
A.8.31|Tecnológico|Separación de ambientes|separar y proteger entornos de desarrollo, pruebas y producción|¿La organización ha definido, implementado, documentado y revisado medidas para separar y proteger entornos de desarrollo, pruebas y producción?|desarrollo,configuracion
A.8.32|Tecnológico|Gestión de cambios|evaluar, autorizar, probar y registrar cambios de sistemas|¿La organización ha definido, implementado, documentado y revisado medidas para evaluar, autorizar, probar y registrar cambios de sistemas?|cambios,configuracion
A.8.33|Tecnológico|Información de prueba|proteger datos usados en pruebas y evitar exposición de información real|¿La organización ha definido, implementado, documentado y revisado medidas para proteger datos usados en pruebas y evitar exposición de información real?|desarrollo,datos_sensibles,privacidad
A.8.34|Tecnológico|Protección durante auditorías técnicas|planificar pruebas de auditoría para evitar impactos en sistemas operativos|¿La organización ha definido, implementado, documentado y revisado medidas para planificar pruebas de auditoría para evitar impactos en sistemas operativos?|auditoria,continuidad
